part;V;u_theo;ca;theta_code;theta_manual;lamda;kappa_0
inside2;0.00067;0.956152971;1.36E-05;92.47;92.56;1.20E-09;1.96E+05
inside2;0.0011;1.56980322;2.23E-05;93.84;94.29;1.20E-09;1.96E+05
inside2;0.0011;1.56980322;2.23E-05;94.12;93.78;1.20E-09;1.96E+05
inside2;0.0011;1.56980322;2.23E-05;93.81;93.59;1.20E-09;1.96E+05
inside2;0.0018;2.569146723;3.65E-05;95.04;94.79;1.20E-09;1.96E+05
inside2;0.0018;2.569146723;3.65E-05;94.98;94.64;1.20E-09;1.96E+05
inside2;0.0018;2.569146723;3.65E-05;96.11;95.3;1.20E-09;1.96E+05
inside2;0.0025;3.567734605;5.06E-05;98.71;98.13;1.20E-09;1.96E+05
inside2;0.0025;3.567734605;5.06E-05;98.32;99.42;1.20E-09;1.96E+05
inside2;0.0025;3.567734605;5.06E-05;99.59;99.4;1.20E-09;1.96E+05
outside2;2.50E-05;0.186619964;2.65E-06;89.82;90.06;1.02E-09;410000
outside2;2.50E-05;0.186619964;2.65E-06;90.12;90.27;1.02E-09;410000
outside2;2.50E-05;0.186619964;2.65E-06;89.75;89.81;1.02E-09;410000
outside2;0.00011;0.821127838;1.17E-05;92.17;90.51;1.02E-09;410000
outside2;0.00011;0.821127838;1.17E-05;91.87;91.98;1.02E-09;410000
outside2;0.00011;0.821127838;1.17E-05;91.57;92.05;1.02E-09;410000
outside2;0.00025;1.86619964;2.65E-05;92.88;93.44;1.02E-09;410000
outside2;0.00025;1.86619964;2.65E-05;93.2;93.42;1.02E-09;410000
outside2;0.00025;1.86619964;2.65E-05;93.15;93.42;1.02E-09;410000
outside2;0.00067;5.001415019;7.10E-05;102.82;103.69;1.02E-09;410000
outside2;0.00067;5.001415019;7.10E-05;103.08;104.01;1.02E-09;410000
outside2;0.00067;5.001415019;7.10E-05;102.93;102.69;1.02E-09;410000
outside2;0.0011;8.21127838;0.0001165;103.49;103.15;1.02E-09;410000
outside2;0.0011;8.21127838;0.0001165;102.99;104.55;1.02E-09;410000
outside2;0.0011;8.21127838;0.0001165;103.7;103.92;1.02E-09;410000
outside2;0.0018;13.43663736;0.000190636;108.24;111.05;1.02E-09;410000
outside2;0.0018;13.43663736;0.000190636;109.1;107.08;1.02E-09;410000
outside2;0.0018;13.43663736;0.000190636;107.97;108.05;1.02E-09;410000
outside2;0.0025;18.6619964;0.000264773;107.75;109.26;1.02E-09;410000
outside2;0.0025;18.6619964;0.000264773;108.56;109.85;1.02E-09;410000
outside2;0.0025;18.6619964;0.000264773;109.8;108.86;1.02E-09;410000
