channel-fluid;V;u_theo;u_real;ca;theta_code;theta_manual;lamda;kappa0
var2-water;0.00011;0.48905408;0.53410396;7.45E-06;93.19;93.54;1.55E-09;1.19E+04
var2-water;0.00025;1.111486547;1.18507445;1.64E-05;94.61;95.1;1.55E-09;1.19E+04
var2-water;0.00025;1.111486547;1.201257366;1.64E-05;93.95;94.1;1.55E-09;1.19E+04
var2-water;0.00025;1.111486547;1.20316772;1.64E-05;94.56;93.73;1.55E-09;1.19E+04
var2-water;0.00067;2.978783945;3.24445133;4.45E-05;95.41;94.98;1.55E-09;1.19E+04
var2-water;0.00067;2.978783945;3.22154419;4.45E-05;95.35;94.29;1.55E-09;1.19E+04
var2-water;0.00067;2.978783945;3.23299776;4.45E-05;95.38;95.805;1.55E-09;1.19E+04
var2-water;0.0011;4.890540805;5.4244681;7.40E-05;97.51;97.09;1.55E-09;1.19E+04
var2-water;0.0011;4.890540805;5.32863739;7.40E-05;98.33;98.26;1.55E-09;1.19E+04
var2-water;0.0011;4.890540805;5.40172394;7.40E-05;97.92;97.56;1.55E-09;1.19E+04
var2-water;0.0018;8.002703135;8.6886643;0.000118973;102.3;101.24;1.55E-09;1.19E+04
var2-water;0.0018;8.002703135;8.61094116;0.000118973;102.27;101.54;1.55E-09;1.19E+04
var2-water;0.0018;8.002703135;8.59129413;0.000118973;101.98;101.29;1.55E-09;1.19E+04
var2-water;0.0025;11.11486547;12.1883155;0.000168963;103.47;102.47;1.55E-09;1.19E+04
var2-water;0.0025;11.11486547;12.3801096;0.000168963;105.09;103.07;1.55E-09;1.19E+04
var2-water;0.0025;11.11486547;12.1912544;0.000168963;104.25;103.98;1.55E-09;1.19E+04
var3-water;2.50E-05;0.111148655;0.114667327;1.58E-06;89.43;89.69;1.07E-09;2.85E+05
var3-water;2.50E-05;0.111148655;0.114667327;1.58E-06;89.49;89.18;1.07E-09;2.85E+05
var3-water;2.50E-05;0.111148655;0.114667327;1.58E-06;88.98;89.18;1.07E-09;2.85E+05
var3-water;0.00011;0.48905408;0.50453624;6.94E-06;90.36;91.51;1.07E-09;2.85E+05
var3-water;0.00011;0.48905408;0.50453624;6.94E-06;91.16;90.52;1.07E-09;2.85E+05
var3-water;0.00011;0.48905408;0.50453624;6.94E-06;90.45;91.02;1.07E-09;2.85E+05
var3-water;0.00025;1.111486547;1.146673272;1.58E-05;92.11;92.1;1.07E-09;2.85E+05
var3-water;0.00025;1.111486547;1.146673272;1.58E-05;93.11;94.27;1.07E-09;2.85E+05
var3-water;0.00025;1.111486547;1.146673272;1.58E-05;92.45;92.49;1.07E-09;2.85E+05
var3-water;0.00067;2.978783945;3.073084368;4.23E-05;95.88;96.99;1.07E-09;2.85E+05
var3-water;0.00067;2.978783945;3.073084368;4.23E-05;96.22;95.18;1.07E-09;2.85E+05
var3-water;0.00067;2.978783945;3.073084368;4.23E-05;95.64;96.01;1.07E-09;2.85E+05
var3-water;0.0011;4.890540805;5.045362395;6.94E-05;102.02;102.5;1.07E-09;2.85E+05
var3-water;0.0011;4.890540805;5.045362395;6.94E-05;104.72;104.39;1.07E-09;2.85E+05
var3-water;0.0011;4.890540805;5.045362395;6.94E-05;102.59;102.96;1.07E-09;2.85E+05
var3-water;0.0018;8.002703135;8.256047555;0.000113558;103.76;103.33;1.07E-09;2.85E+05
var3-water;0.0018;8.002703135;8.256047555;0.000113558;104.18;103.7;1.07E-09;2.85E+05
var3-water;0.0018;8.002703135;8.256047555;0.000113558;103.68;103.6;1.07E-09;2.85E+05
var3-water;0.0025;11.11486547;11.46673272;0.000157719;107.75;107.25;1.07E-09;2.85E+05
var3-water;0.0025;11.11486547;11.46673272;0.000157719;105.26;106.27;1.07E-09;2.85E+05
var3-water;0.0025;11.11486547;11.46673272;0.000157719;107.01;106.52;1.07E-09;2.85E+05
